id;zona;kids_r;prop_r;resid;age;inc_r;persh;inc_b;prop_b;kids_b;var_0001;var_0002;var_0003;var_0004;var_0005;var_0006;var_0007;var_0008;var_0009;var_0010;var_0011;var_0012
52896;1;60,34020688;85,99956938;20,25333333;53,82891608;65252,59764;3,8;60351,5625;94,46366782;41,69550173;0;0;0;0;0;0;0;0;1;0;0;0
24566;5;42,68002432;75,48520974;8;36,4909011;44332,99502;2,6;47864,23841;67,69509982;43,01270417;0;1;0;0;1;0;0;0;0;0;0;0
52417;3;19,5298228;96,94264382;13;62,76470405;58832,34034;2,7;67385,05747;94,04517454;33,88090349;0;1;0;0;0;1;0;0;0;0;0;0
22559;5;24,24196488;3,88719088;4,1;40,61625541;16898,748;1;16422,41379;15,97139452;41,0011919;0;0;1;0;0;0;0;0;0;0;0;0
51578;2;30,25081904;81,57421058;5,7;45,27105095;82973,07376;2,3;94478,31978;91,59104658;58,13672111;0;0;1;0;0;1;0;0;0;0;0;0
21479;1;49,42161516;80,7689296;11,85;53,12232666;64763,21775;3;59511,78451;83,14220183;34,21253823;0;1;0;0;0;1;0;0;0;0;1;0
28204;3;26,41001848;4,6728613;2,621428571;40,91500987;15849,54395;1,6;27727,27273;27,95698925;27,20430108;0;0;0;1;0;0;0;0;0;0;0;0
30526;3;15,55561144;62,30397384;15,5;61,44557676;31467,21701;1;34750;35,49488055;17,74744027;0;0;0;0;0;0;1;0;0;0;0;0
15749;4;31,33241292;86,60704896;12,41414141;59,13489525;37863,31074;1,7;43602,94118;87,11538462;27,5;0;0;1;0;0;0;0;0;0;0;0;0
33844;2;54,7475351;89,93670576;7,942857143;41,4914458;43870,57832;3,6;53531,07345;88,22115385;39,66346154;0;1;0;0;0;1;0;0;0;0;0;1
44270;1;48,69111098;85,5568416;15,28888889;49,98419333;50890,208;2,4;34868,42105;65,74746009;30,47895501;0;0;0;1;1;0;1;0;1;0;0;1
57810;4;27,647855;32,60998412;3,242857143;41,39124116;52960,71086;1;72263,31361;53,31664581;38,79849812;0;1;0;0;0;0;0;0;0;0;0;0
22526;1;18,55259418;88,57534384;7,285714286;55,84894872;103434,5985;2,5;78296,7033;87,10217755;40,61976549;0;0;0;0;0;0;0;0;0;0;0;1
53443;4;34,0472204;88,11795344;7,251685393;45,54307938;70343,74175;2;89915,45894;97,32569245;49,18815664;0;0;1;0;0;0;0;0;0;0;0;1
42578;2;46,14721114;78,49146936;6,4;43,96782928;56023,03998;2;55199,04459;66,02440591;38,02183687;0;0;0;0;1;0;1;0;0;0;0;0
32552;1;92,4664384;90,51230648;3,5;49,48783769;94489,95655;6,2;38033,70787;71,25984252;26,96850394;0;1;0;1;0;0;0;0;0;0;0;0
57768;3;22,6536056;4,68174088;1,95;47,97886546;14501,32274;1;31423,61111;9,59276018;42,8959276;0;0;0;0;0;0;0;0;0;0;0;0
57539;5;37,47413888;71,37557928;2,93;44,08292457;30703,31321;1;49471,83099;65,23702032;37,4717833;0;0;0;0;0;0;0;0;0;0;0;0
39493;3;33,95590906;84,20293754;10;55,34297167;72041,78463;3,3;78422,61905;87,90087464;38,19241983;0;0;0;0;0;0;1;0;0;0;0;0
13885;4;16,12341194;84,1293139;12,5;58,79350687;127958,8912;1,8;37934,78261;49,71751412;35,2165725;1;0;0;0;0;0;0;0;0;0;1;0
33646;3;17,32690342;11,32278748;3,6;65,9029092;30681,31171;1;42039,47368;6,61521499;16,20727674;0;0;0;0;0;0;0;0;0;0;0;1
39775;5;58,59356708;86,99849732;12,0375;51,61592168;40351,82086;1,4;40393,25843;81,06382979;47,0212766;0;0;0;0;1;0;1;0;0;0;0;0
3840;2;42,84519022;90,15919898;19,36428571;54,3619144;86097,18071;2,8;69603,52423;91,51376147;34,05963303;0;0;0;0;0;0;0;0;0;0;1;0
35205;1;70,95969148;88,05290748;8,1;41,33209657;38037,76776;3,1;39500;73,70517928;30,27888446;0;1;0;1;0;0;1;0;0;0;0;1
19335;1;32,1764673;76,96171998;5,5;41,39931975;19969,37599;1,4;33120,07874;70,7460926;33,70687113;0;0;0;0;0;0;1;0;0;0;0;0
6695;1;16,39915782;95,66031196;10,85;59,58795078;46949,05092;1,2;42151,16279;88,04581246;29,42018611;0;0;0;0;0;0;1;0;0;0;0;0
45046;1;52,96078408;86,68609574;4,545454546;40,92226398;64801,66367;3,6;62824,67533;81,74807198;34,31876607;0;1;0;1;0;1;1;0;0;0;1;0
20717;1;79,95973026;88,00329778;11,5;57,77066726;48562,77962;2,7;39633,75796;84,18657565;35,83617747;0;0;0;1;0;0;1;0;0;0;0;0
15781;2;21,74521326;27,1118802;5,15;52,23228432;21574,10782;1;38721,80451;72,76887872;26,77345538;0;1;1;0;0;0;0;0;0;0;0;0
25692;4;47,12831106;73,51352268;7,010416667;43,93043352;54450,31235;1,6;53500;65,2;44,4;0;1;0;0;0;0;0;0;0;0;1;1
15106;4;23,72842148;68,19916064;6,02027027;45,73141332;25544,268;1;39709,30233;67,08160443;15,49100968;0;0;1;0;0;0;0;0;0;0;0;0
47518;1;17,06326064;67,11240698;7,5;44,41244702;66500,54765;2,4;54274,19355;81,32231405;33,71900826;0;0;0;1;0;0;0;0;0;0;0;0
189;5;9,20886758;4,22321112;4,75;27,07725654;38932,1586;1;41850,96154;19,17631918;8,75160875;0;0;0;0;0;1;0;0;0;0;0;0
55763;5;19,22303958;94,17428398;10,3;78,47563002;30895,37964;1,4;37900,55249;29,60199005;20,52238806;0;0;0;0;0;0;1;0;0;0;0;0
32334;2;51,49606299;66,92913386;6,2;47,33333333;42770,27027;2,92913386;42770,27027;66,92913386;51,49606299;0;0;0;0;0;0;0;0;0;0;0;0
44277;3;45,25738972;90,55307998;19;58,56009282;133232,9919;2;111697,2477;89,13649025;46,93593315;0;0;0;0;1;0;0;0;0;0;1;0
43012;3;8,30388693;33,74558304;5,6;38,125;35674,1573;1,98233216;35674,1573;33,74558304;8,30388693;0;0;1;0;0;0;0;0;0;0;0;1
44313;2;17,22257714;96,21083454;20,5;67,6259498;46647,74387;2,4;40318,18182;80,6557377;31,80327869;0;0;0;0;0;0;1;0;0;0;0;0
327;4;20,9115243;22,31189396;3,6;46,46322088;61380,25672;1;79939,51613;51,71192444;29,98819362;0;1;0;0;0;1;0;1;0;1;0;0
11108;1;48,0014226;75,63247184;10,1;37,77309226;38029,44139;3,8;24158,87851;63,36336336;31,83183183;0;0;1;1;0;1;0;0;0;1;0;0
9247;3;43,53062654;67,37598862;12,5;49,42469567;68757,0683;1,4;49605,26316;81,03448276;26,89655172;0;0;0;1;0;1;0;0;0;0;0;0
57517;2;64,03245116;79,42488966;12;43,71706937;69245,10584;3,3;41057,69231;78,91737892;33,33333333;0;1;1;0;1;0;1;0;0;0;1;0
6415;1;18,53689418;92,5383845;12,475;54,38881638;11983,66175;1,3;32162,16216;80,51612903;30,06451613;0;0;0;0;0;0;0;0;0;0;0;0
43404;3;32,32878322;77,37957962;12;44,09920365;37085,79416;3;48726,41509;92,30769231;21,36752137;0;1;0;1;0;0;0;0;0;0;0;0
34193;1;22,92217474;9,42869928;4,2;67,20649059;20986,33053;1;41996,26866;65,36912752;41,61073826;0;1;0;0;0;0;0;0;0;0;0;0
12029;3;8,82818864;75,4587783;6,25;40,28912536;61524,58801;1,6;65090,67358;52,30439443;14,36227224;0;0;0;0;0;0;0;0;0;0;0;0
1414;4;49,10694134;85,95820824;4,34;40,16456377;65884,11829;2,2;109496,124;93,84615385;37,58241758;0;0;0;1;0;1;0;0;0;0;0;1
57173;3;34,41287348;85,83994678;9,181818182;47,16131886;41637,48527;2;49391,89189;69,26829268;38,04878049;0;1;0;0;0;0;0;0;0;0;0;0
21243;2;21,4146597;85,6385258;7,5;71,01059483;135120,9563;2;47100;44,82758621;35,40229885;0;0;0;0;1;0;1;0;0;0;0;0
54897;4;39,82064376;86,41487112;8,5;49,63261266;74247,86897;3;64095,74468;92,12121212;40,15151515;0;0;0;0;1;0;0;0;0;0;0;0
36337;3;41,33656842;82,92445166;7,578846154;51,06232989;26378,3207;2;38620,68966;55,29661017;39,83050847;0;1;0;0;0;1;0;0;0;0;0;0
14833;5;27,52536252;9,87246378;7,76;41,82644204;22552,02413;1;28947,36842;41,40271493;37,78280543;0;1;0;1;0;0;0;0;0;0;0;0
26824;5;18,3900265;5,22295156;0,975;34,00349106;64740,20872;1;56535,533;20,24415056;8,44354018;1;0;0;0;0;1;0;0;0;0;0;1
47492;2;44,8335335;92,80088456;20,1;48,23863308;73750,27014;3;68779,62085;97,04749679;47,75353017;0;0;0;0;0;0;0;0;0;0;0;0
9071;1;57,49642582;89,1032055;15,66;56,83597029;48031,75267;3,8;72959,18367;92,23659889;37,43068392;0;1;0;0;0;0;1;0;0;0;0;1
49899;3;55,74913066;85,76796508;15;57,7153728;30704,3505;2,8;24491,52542;76,78571429;31,78571429;0;1;1;0;0;0;1;0;0;0;0;0
126;5;51,95382202;68,39262856;11;54,06329139;34147,64133;1,2;38000;24,66367713;30,04484305;0;1;0;0;0;1;1;0;0;0;0;0
15306;2;18,18649262;85,17153286;20,2;64,89018157;37326,9268;2;59228,18792;94,21875;38,4375;0;0;0;0;0;0;0;0;0;0;0;1
16276;2;39,70473484;88,01325314;6,454545455;45,5654001;54013,09624;2,4;85323,66071;86,59265585;35,52519214;1;1;0;0;0;0;0;0;0;0;1;0
26318;4;38,24785554;83,84377584;7,966666667;67,40775441;110576,7994;2;104258,6751;93,56763926;33,48806366;0;0;0;0;1;0;0;0;0;0;0;0
12633;2;18,94848488;78,46143738;4,3;58,39577001;87361,83816;2,6;81625;94,30894309;32,86875726;0;0;0;0;0;0;0;0;0;0;1;0
458;3;20,70897846;49,30083008;8;48,3538804;28591,02469;1,4;41465,51724;31,89655172;29,02298851;0;1;0;0;0;0;0;0;0;0;0;0
56672;2;17,47136098;90,56200106;12,5;48,54872109;75466,19187;4,4;38812,5;64,15327565;42,02719407;0;0;0;1;1;1;1;0;0;1;1;0
45703;3;46,8579437;72,21895006;16;53,96569232;62606,44005;3,6;47564,93507;80,20050125;35,0877193;0;0;1;1;0;1;1;0;0;0;1;0
16567;5;22,50114378;82,58358898;18;51,54738539;49381,83892;2;53541,66667;90,84249084;27,83882784;0;0;0;0;0;0;0;0;0;0;0;0
6810;3;28,25651303;80,36072144;10,9;52,7184466;51120,68966;2,48697395;51120,68966;80,36072144;28,25651303;0;1;0;1;0;0;0;0;0;0;1;0
35611;2;28,5222107;86,06123726;16;58,0164989;79942,90199;2,7;69015,95745;93,71069182;40,04192872;0;0;0;0;0;0;0;0;0;0;0;1
17512;2;33,59949544;90,0278898;9,35;41,21877543;28458,93605;2,9;41264,70588;47,95763994;22,54160363;0;0;0;0;0;0;0;0;0;0;0;0
22476;3;62,2673373;80,65336078;6,1;50,16284823;70304,27991;2,7;95280,61225;85,95918367;50,85714286;0;0;0;0;0;0;1;0;0;0;0;0
53373;1;42,21855946;78,56529012;4,1;62,7136338;92055,74894;2,6;44413,7931;84,36724566;18,11414392;0;0;0;0;0;0;0;0;0;0;1;0
31390;2;50,08961558;86,1753442;5,5;27,34831225;47032,45606;3;52500;94,33333333;51,4;0;1;1;0;0;0;0;0;0;0;0;0
24512;4;81,86899338;84,14042482;5,809716599;51,11799946;64912,64822;2,6;47167,11957;42,44940322;63,25895174;0;0;0;0;0;0;1;0;0;0;0;0
27609;4;36,14988252;86,3961665;4,679144385;37,69828869;66125,86245;2,2;100470,7113;86,26476072;47,04785581;0;1;0;0;0;0;0;0;0;0;0;0
23252;2;51,59808874;84,35265496;10,25;52,99362947;59975,07011;2;44337,74834;61,4973262;33,55614973;0;0;0;0;0;0;1;0;0;0;1;1
32944;1;21,08747664;88,79795228;17,1;57,0934559;35138,16911;2,6;23350,69444;71,88244639;22,51787133;0;1;0;0;0;0;1;0;0;0;0;0
29208;3;31,52539772;80,39707372;9,071428572;52,76335247;42561,27981;2,4;50877,19298;92,5;35,41666667;0;1;1;0;0;0;0;0;0;0;0;0
55514;2;29,90111126;69,45923392;3,3;43,81313297;49277,77153;1,2;41936,09023;67,56756757;55,11163337;0;0;0;0;0;0;0;0;0;0;0;0
5363;3;28,17933444;4,02402746;2,7;38,58315639;23722,77654;1;28571,42857;47,51958225;45,69190601;0;0;1;0;0;0;0;0;0;0;0;1
36369;1;19,58385788;83,3253254;14,7;56,25572717;69009,61683;3,3;42404,4586;79,19293821;38,33543506;0;0;1;0;0;0;0;0;0;0;1;0
23057;3;20,8528907;14,22004002;2,356862745;37,02770354;13541,94268;1;39934,21053;2,78637771;35,29411765;0;1;0;0;0;0;0;0;0;0;0;1
57845;5;11,85568484;5,62274552;2,166666667;29,00516257;19951,76251;1;34185,18519;20,49382716;16,79012346;0;0;0;0;0;0;0;0;0;0;0;1
4864;3;16,77099478;52,05424662;2,783333333;61,46718375;36768,08437;1;36334,74576;57,9029734;28,79499218;0;0;1;0;0;0;0;0;0;0;0;0
19127;2;38,77696264;19,16939874;4,1;46,14878552;37515,64139;2;56007,46269;56,56565657;35,81267218;0;0;0;0;0;1;0;0;0;0;0;0
751;2;47,53580782;96,1634465;9;44,67891376;53339,32266;2;65929,20354;58,70307167;20,4778157;0;0;0;0;0;0;0;0;0;0;0;0
42827;3;14,78670792;80,51513602;6,3;57,14084256;34021,48511;1;38750;67,92114695;17,56272401;0;0;0;0;0;0;1;0;0;0;0;0
42703;1;20,97369804;87,57726862;15,83333333;70,86031629;41589,1225;3;32526,31579;78,18181818;9,61038961;0;0;0;0;0;0;1;0;0;0;1;0
12446;2;35,6385174;79,65134662;12,83333333;58,21936601;46096,12131;2;39772,72727;81,41361257;34,81675393;0;0;1;0;0;0;1;0;0;0;0;0
29048;1;29,33200438;81,9520055;15,12307692;62,63293354;30949,5137;2,6;29375;84,89326765;32,01970443;0;1;0;0;1;0;1;0;0;0;0;0
42378;3;30,7511701;61,90282968;15,56666667;56,53383336;19412,10215;2;27380,95238;19,59064327;42,98245614;0;0;0;0;0;0;0;0;0;0;0;1
49356;4;44,59581526;96,61918378;12,29166667;55,22900033;136315,9442;3,6;97896,0396;90,63032368;34,92333901;0;0;0;1;0;0;0;0;0;0;0;0
36564;3;33,3172468;83,20122016;9,8;53,7531847;43898,32767;1,8;41041,66667;73,83512545;30,82437276;0;1;0;0;0;1;1;0;0;0;0;1
14208;4;25,77047012;85,5140081;6,5;41,50611084;124798,2993;2,4;76225,4902;97,21448468;33,14763231;0;1;0;0;0;0;1;0;0;0;0;0
14688;1;25,26641066;85,48574496;11,78571429;61,51489326;53053,58247;2,3;45227,27273;90;35;0;0;1;0;0;0;1;0;0;0;0;0
48447;5;40,24959532;66,85045614;14,33333333;62,75087522;67350,79197;2;31131,22172;24,42839952;19,25391095;0;0;0;0;0;0;0;0;0;0;0;0
54639;1;29,46297834;86,06031822;18,08571429;59,43496092;63334,01123;2;61098,13084;91,83303085;30,67150635;0;0;0;0;0;0;0;0;0;0;0;0
46304;1;40,19823454;74,39042144;11,975;39,60732989;19975,81383;1,6;28038,46154;77,77777778;31,61512027;0;1;0;0;0;0;1;0;0;0;0;1
19007;1;46,02467174;73,43115782;5,5;35,62490341;30244,99764;3;42307,69231;72,93233083;36,46616541;0;0;0;1;1;1;0;0;0;0;0;1
15763;1;18,34199142;88,32672564;3,1;48,81435825;45570,56689;1;55902,77778;84,45040214;32,43967828;0;0;0;0;0;0;1;0;0;0;1;0
42610;4;34,89593248;78,96340714;6,117647059;49,47062908;82994,78824;1,8;45706,52174;70,44476327;23,52941176;0;0;0;0;1;0;0;0;0;0;1;0
